Columna 1,Columna 2,Columna 3,Columna 4,Columna 5,Columna 6,Columna 7,Columna 8,Columna 9,Columna 10,Columna 11,Columna 12,Columna 13,Columna 14,Columna 15,Columna 16,Columna 17,Columna 18,Columna 19,Columna 20,Columna 21,Columna 22,Columna 23,Columna 24,Columna 25,Columna 26,Columna 27,Columna 28,Columna 29,Columna 30,Columna 31,Columna 32,Columna 33,Columna 34,Columna 35,Columna 36,Columna 37,Columna 38,Columna 39,Columna 40,Columna 41,Columna 42,Columna 43,Columna 44,Columna 45,Columna 46,Columna 47,Columna 48,Columna 49,Columna 50,Columna 51,Columna 52,Columna 53,Columna 54,Columna 55,Columna 56,Columna 57,Columna 58,Columna 59,Columna 60,Columna 61,Columna 62,Columna 63,Columna 64,Columna 65,Columna 66,Columna 67,Columna 68,Columna 69,Columna 70,Columna 71,Columna 72,Columna 73,Columna 74,Columna 75,Columna 76,Columna 77,Columna 78,Columna 79,Columna 80,Columna 81,Columna 82,Columna 83,Columna 84,Columna 85,Columna 86,Columna 87,Columna 88,Columna 89,Columna 90,Columna 91,Columna 92,Columna 93,Columna 94,Columna 95,Columna 96,Columna 97,Columna 98
0,281,31,28,32,27,27,29,31,37,28,32,26,26,34,950,30,36,24,33,33,33,33,30,30,30,38,41,33,36,35,30,406,1487,40,40,30,33,32,35,34,32,37,1588,31,31,38,31,33,33,37,39,39,40,30,29,-1,30,27,30,26,30,27,30,30,23,1654,30,30,30,30,30,30,21,31,31,74,29,20,24,29,43,47,40,30,30,43,43,38,38,30,30,43,43,43,37,37,37
280,0,281,287,285,277,277,284,282,297,279,279,277,276,288,691,268,282,277,272,272,272,272,268,268,268,278,280,272,274,273,268,584,1229,279,279,268,282,275,274,281,275,277,1330,276,276,280,278,272,272,286,281,281,280,268,280,-1,268,277,268,270,268,267,275,275,263,1396,268,268,268,268,268,275,280,273,273,324,276,269,278,275,282,285,279,268,268,282,282,277,277,268,268,282,282,282,276,276,276
30,284,0,8,12,8,8,7,5,25,9,5,12,13,14,964,16,23,25,20,20,20,20,16,16,16,23,28,20,23,22,16,421,1502,27,27,16,8,19,14,9,19,15,1603,10,10,13,17,14,14,12,14,14,18,16,16,-1,16,12,16,29,16,34,25,25,31,1669,16,16,16,16,16,25,21,20,20,89,25,29,21,26,30,33,23,16,16,30,30,22,22,16,16,30,30,30,24,24,24
31,288,6,0,5,13,13,12,4,21,14,10,17,17,7,961,20,18,30,24,24,24,24,20,20,20,21,32,24,26,26,20,417,1498,21,21,20,6,14,15,7,14,13,1599,12,12,11,13,16,16,10,12,12,16,20,11,-1,20,17,20,31,20,38,27,27,34,1665,20,20,20,20,20,27,26,25,25,85,27,32,26,28,34,37,21,20,20,33,33,22,22,20,20,34,34,34,27,27,27
35,293,12,5,0,18,18,16,10,25,19,15,22,23,3,965,25,20,35,29,29,29,29,25,25,25,26,36,29,32,31,25,421,1503,22,22,25,12,14,20,12,14,18,1604,17,17,16,15,21,21,15,17,17,21,25,13,-1,25,22,25,36,25,43,32,32,39,1670,25,25,25,25,25,32,31,30,30,90,33,37,31,34,34,37,26,25,25,34,34,27,27,25,25,34,34,34,32,32,32
26,280,8,14,19,0,0,7,11,31,3,6,5,6,21,934,12,24,18,16,16,16,16,12,12,12,21,24,16,19,18,12,416,1471,26,26,12,11,22,13,11,22,14,1572,9,9,16,20,13,13,15,16,16,17,12,21,-1,12,5,12,25,12,30,21,21,26,1638,12,12,12,12,12,21,14,16,16,84,22,26,14,22,26,29,22,12,12,26,26,20,20,12,12,26,26,26,19,19,19
26,280,8,14,19,0,0,7,11,31,3,6,5,6,21,934,12,24,18,16,16,16,16,12,12,12,21,24,16,19,18,12,416,1471,26,26,12,11,22,13,11,22,14,1572,9,9,16,20,13,13,15,16,16,17,12,21,-1,12,5,12,25,12,30,21,21,26,1638,12,12,12,12,12,21,14,16,16,84,22,26,14,22,26,29,22,12,12,26,26,20,20,12,12,26,26,26,19,19,19
28,285,7,12,17,7,7,0,10,27,8,8,12,13,19,962,17,25,24,21,21,21,21,17,17,17,26,29,21,24,23,17,418,1500,28,28,17,13,20,18,14,20,19,1600,14,14,18,19,19,19,17,19,19,22,17,17,-1,17,11,17,31,17,35,27,27,32,1666,17,17,17,17,17,27,20,21,21,86,28,32,20,29,31,34,27,17,17,31,31,25,25,17,17,31,31,31,25,25,25
33,284,4,6,10,11,11,10,0,23,12,7,15,15,12,963,16,21,28,20,20,20,20,16,16,16,21,28,20,23,22,16,420,1501,25,25,16,7,17,15,7,17,13,1602,10,10,12,16,14,14,11,12,12,16,16,14,-1,16,15,16,29,16,34,25,25,31,1668,16,16,16,16,16,25,24,20,20,88,25,29,24,26,30,33,21,16,16,30,30,22,22,16,16,30,30,30,24,24,24
35,298,25,19,24,31,31,28,23,0,32,28,32,32,26,968,36,28,44,42,42,42,42,36,36,36,32,40,42,45,44,36,424,1505,32,32,36,25,24,34,26,24,32,1606,31,31,30,23,34,34,29,30,30,34,36,21,-1,36,32,36,50,36,48,46,46,45,1672,36,36,36,36,36,46,39,41,41,92,47,48,39,48,42,45,32,36,36,42,42,33,33,36,36,42,42,42,37,37,37
