0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250
0,33,10,3,4,3,3,6,5,5,3,6,5,5,5,5,5,6,3,4,10,10,11,11,11,4,11,4,3,3,11,10,15,14,6,9,9,6,3,9,17,17,17,12,17,19,15,6,5,5,3,3,3,3,3,2,3,6,8,16,16,13,3,13,10,15,14,14,12,13,15,13,13,13,3,10,10,14,15,6,11,33,8,3,3,3,5,3,5,7,7,18,6,10,6,6,6,7,7,9,5,3,33,9,13,7,7,11,12,12,13,3,10,11,14,3,3,3,3,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,14,15,9,3,3,7,3,3,25,25,16,9,3,8,2175,7,24,15,10,3,8,10,16,8,3,3,3,3,3,3,7,7,7,7,7,7,7,7,3,3,3,7,3,2908,12,3,3,3,16,16,15,28,8,8,8,3,3,3,2908,2287,9,3,8,9,16,16,33,33,33,33,33,3,3,10,15,3,10,3,3,3,15,5,5,5,15,3,9,14,12,7,8,6,14,12,9,7,33,3,3,8,7,12,12,13,3,3,3,3,3,13,3,3,3
33,0,40,38,32,30,30,36,31,36,31,35,36,36,36,36,35,31,44,44,60,60,49,49,49,44,49,44,38,38,39,39,39,40,37,37,37,39,38,37,45,45,46,40,46,42,40,35,36,35,38,38,38,38,38,34,38,48,50,57,57,60,38,60,47,46,47,47,45,48,45,45,48,48,38,48,48,47,47,41,47,0,44,38,38,38,43,38,44,40,40,46,43,44,41,41,45,46,45,47,44,38,0,37,48,46,46,47,46,46,44,38,48,47,44,38,38,38,38,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,43,43,36,38,38,36,38,38,53,53,44,36,38,36,2347,36,26,43,38,38,47,60,46,46,38,38,38,38,38,38,46,46,46,46,46,46,46,46,38,38,38,46,38,3080,49,38,38,38,56,56,55,58,47,47,47,38,38,38,3080,2459,44,38,41,48,49,49,0,0,0,0,0,38,38,48,46,38,61,38,38,38,47,44,44,44,47,38,50,48,50,30,47,44,47,50,48,47,0,38,38,46,30,45,45,48,38,38,38,38,38,45,38,38,38
9,42,0,6,7,10,10,10,11,10,9,10,7,7,7,7,10,10,7,7,12,12,11,11,11,7,12,8,6,6,7,6,6,5,3,7,7,4,6,7,7,7,8,9,7,9,6,6,4,6,6,6,6,6,6,8,6,9,11,17,17,14,6,13,14,17,16,16,6,16,18,17,16,16,6,14,14,17,17,13,15,42,12,6,6,6,9,6,10,13,13,15,11,14,12,12,10,10,9,11,9,6,42,6,15,9,9,15,16,16,17,6,14,15,18,6,6,6,6,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,11,11,9,6,6,6,6,6,22,22,12,9,6,8,2170,6,24,11,7,6,10,13,18,11,6,6,6,6,6,6,11,11,11,11,11,11,11,11,6,6,6,11,6,2903,14,6,6,6,19,19,18,31,11,11,11,6,6,6,2903,2282,5,6,4,10,12,12,42,42,42,42,42,6,6,14,17,6,12,6,6,6,17,7,7,7,18,6,12,16,13,10,12,9,16,13,13,10,42,6,6,10,10,16,16,16,6,6,6,6,6,17,6,6,6
2,39,5,0,2,5,5,6,6,5,4,5,3,3,3,3,5,7,5,6,12,12,11,11,11,6,12,6,0,0,9,8,11,10,5,7,7,5,0,7,12,12,13,10,12,14,11,4,3,3,0,0,0,0,0,3,0,8,10,17,17,14,0,13,15,18,16,16,11,15,17,18,15,15,0,15,15,16,17,7,16,39,10,0,0,0,7,0,7,8,8,16,8,10,8,8,11,9,9,11,10,0,39,7,17,9,9,16,17,17,18,0,16,16,19,0,0,0,0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,12,13,8,0,0,5,0,0,23,23,14,7,0,7,2175,5,22,13,8,0,10,12,18,13,0,0,0,0,0,0,12,12,12,12,12,12,12,12,0,0,0,12,0,2908,14,0,0,0,18,18,17,30,10,10,10,0,0,0,2908,2286,8,0,8,8,16,16,39,39,39,39,39,0,0,15,18,0,12,0,0,0,17,7,7,7,17,0,11,16,13,8,13,7,16,13,14,9,39,0,0,10,8,18,18,15,0,0,0,0,0,18,0,0,0
3,32,6,2,0,3,3,3,4,3,2,3,3,3,3,3,3,4,6,7,13,13,13,13,13,6,14,7,2,2,8,8,8,9,5,6,6,6,2,6,10,10,11,9,10,11,9,4,3,3,2,2,2,2,2,3,2,9,11,19,19,16,2,15,13,17,16,16,13,16,18,16,16,16,2,12,12,17,18,8,13,32,11,2,2,2,7,2,7,9,9,15,8,12,8,8,9,10,9,11,8,2,32,6,15,10,10,14,15,15,16,2,13,14,17,2,2,2,2,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,12,12,7,2,2,5,2,2,22,22,13,6,2,6,2176,5,22,12,7,2,11,13,18,10,2,2,2,2,2,2,10,10,10,10,10,10,10,10,2,2,2,10,2,2909,14,2,2,2,19,19,18,31,10,10,10,2,2,2,2909,2287,9,2,9,12,17,17,32,32,32,32,32,2,2,12,17,2,13,2,2,2,18,8,8,8,18,2,12,16,15,6,11,7,16,15,12,10,32,2,2,11,6,15,15,16,2,2,2,2,2,15,2,2,2
4,30,10,4,2,0,0,3,2,3,2,3,3,3,3,3,3,3,6,7,13,13,13,13,13,6,14,7,4,4,9,8,9,9,7,6,6,8,4,7,11,11,12,10,11,12,10,4,5,4,4,4,4,4,4,5,4,9,11,19,19,16,4,15,13,17,16,16,14,16,18,16,16,16,4,12,12,17,18,7,13,30,11,4,4,4,9,4,8,8,8,16,9,12,8,8,9,10,9,11,10,4,30,7,15,10,10,14,15,15,16,4,13,14,17,4,4,4,4,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,12,12,7,4,4,5,4,4,23,23,14,6,4,6,2178,5,19,12,8,4,11,13,18,10,4,4,4,4,4,4,10,10,10,10,10,10,10,10,4,4,4,10,4,2911,15,4,4,4,19,19,18,31,10,10,10,4,4,4,2911,2289,14,4,11,12,19,19,30,30,30,30,30,4,4,12,17,4,13,4,4,4,18,8,8,8,18,4,12,16,15,4,11,10,16,15,12,10,30,4,4,11,3,15,15,16,4,4,4,4,4,16,4,4,4
4,30,10,4,2,0,0,3,2,3,2,3,3,3,3,3,3,3,6,7,13,13,13,13,13,6,14,7,4,4,9,8,9,9,7,6,6,8,4,7,11,11,12,10,11,12,10,4,5,4,4,4,4,4,4,5,4,9,11,19,19,16,4,15,13,17,16,16,14,16,18,16,16,16,4,12,12,17,18,7,13,30,11,4,4,4,9,4,8,8,8,16,9,12,8,8,9,10,9,11,10,4,30,7,15,10,10,14,15,15,16,4,13,14,17,4,4,4,4,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,12,12,7,4,4,5,4,4,23,23,14,6,4,6,2178,5,19,12,8,4,11,13,18,10,4,4,4,4,4,4,10,10,10,10,10,10,10,10,4,4,4,10,4,2911,15,4,4,4,19,19,18,31,10,10,10,4,4,4,2911,2289,14,4,11,12,19,19,30,30,30,30,30,4,4,12,17,4,13,4,4,4,18,8,8,8,18,4,12,16,15,4,11,10,16,15,12,10,30,4,4,11,3,15,15,16,4,4,4,4,4,16,4,4,4
5,36,11,4,3,2,2,0,2,1,4,0,2,2,2,2,1,1,8,8,14,14,19,19,19,8,20,8,4,4,10,9,10,10,7,7,7,9,4,8,16,16,17,11,16,13,11,4,5,4,4,4,4,4,4,7,4,11,13,24,24,22,4,21,18,21,18,18,15,18,22,21,18,18,4,18,18,19,22,10,19,36,16,4,4,4,13,4,13,11,11,17,15,18,12,12,14,15,15,17,13,4,36,8,20,15,15,19,20,20,21,4,18,19,22,4,4,4,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,13,13,5,4,4,6,4,4,24,24,15,5,4,6,2179,6,19,13,9,4,12,15,23,16,4,4,4,4,4,4,15,15,15,15,15,15,15,15,4,4,4,15,4,2912,16,4,4,4,21,21,19,33,12,12,12,4,4,4,2912,2290,14,4,12,19,20,20,36,36,36,36,36,4,4,18,21,4,14,4,4,4,19,14,14,14,20,4,14,18,21,2,16,13,18,21,17,12,36,4,4,16,2,20,20,18,4,4,4,4,4,21,4,4,4
5,30,13,6,4,2,2,2,0,2,3,2,4,4,4,4,2,1,8,8,14,14,15,15,15,8,15,8,6,6,12,11,12,12,10,10,10,11,6,10,18,18,19,13,18,15,13,8,9,8,6,6,6,6,6,6,6,10,12,20,20,17,6,17,17,19,18,18,17,18,20,20,18,18,6,16,16,18,20,9,17,30,15,6,6,6,11,6,12,9,9,19,14,16,10,10,13,13,13,15,12,6,30,10,18,13,13,18,18,18,20,6,17,18,20,6,6,6,6,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,15,16,6,6,6,8,6,6,26,26,17,5,6,8,2181,8,18,16,11,6,12,14,21,14,6,6,6,6,6,6,13,13,13,13,13,13,13,13,6,6,6,13,6,2914,16,6,6,6,20,20,19,32,12,12,12,6,6,6,2914,2292,17,6,14,21,22,22,30,30,30,30,30,6,6,16,19,6,14,6,6,6,19,12,12,12,19,6,13,18,16,3,15,11,18,16,16,12,30,6,6,14,2,19,19,18,6,6,6,6,6,19,6,6,6
5,37,11,4,3,2,2,1,2,0,4,1,2,2,2,2,0,1,8,8,14,14,15,15,15,8,16,8,4,4,9,8,8,9,6,6,6,7,4,6,11,11,11,9,10,11,9,3,5,3,4,4,4,4,4,6,4,11,12,20,20,17,4,17,14,19,18,18,16,18,19,18,18,18,4,14,14,18,19,11,15,37,13,4,4,4,9,4,9,12,12,15,10,14,10,10,10,12,11,13,9,4,37,6,17,11,11,15,16,16,17,4,15,16,18,4,4,4,4,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,12,12,5,4,4,5,4,4,23,23,13,5,4,5,2179,5,19,12,7,4,12,15,20,12,4,4,4,4,4,4,11,11,11,11,11,11,11,11,4,4,4,11,4,2912,16,4,4,4,20,20,19,33,12,12,12,4,4,4,2912,2291,15,4,12,19,20,20,37,37,37,37,37,4,4,14,19,4,14,4,4,4,19,9,9,9,19,4,13,18,16,3,12,10,18,16,13,12,37,4,4,12,2,17,17,18,4,4,4,4,4,17,4,4,4
